Row Labels,Average of Shoot_count ,StdDev of Shoot_count ,Count of Shoot_count ,,,,,,,,,,,
Buried bags,1.733333333,3.129231598,60,,,1.7,3.1,60,6.93,2,173.3333333,0.00962963,0.962962963,13
Site 1,1.2,2.525657809,20,,,1.2,2.5,20,5,1,,0,,
Site 5,1.8,3.488326397,20,,,1.8,3.5,20,7,2,,0,,
Site 9,2.2,3.365459224,20,,,2.2,3.4,20,9,2,,0,,
Furrows,0.133333333,0.812334294,60,,,0.1,0.8,60,1,0,13.33333333,0.000740741,0.074074074,
Site 2,0.3,1.341640786,20,,,0.3,1.341640786,20,1,1,,0,,
Site 6,0.1,0.447213595,20,,,0.1,0.447213595,20,0,0,,0,,
Site 7,0,0,20,,,0,0,20,0,0,,0,,
Surface bags,1.05,2.295352711,60,,,1.1,2.3,60,4,1,37.8,0.0021,0.21,
Site 3,0.55,1.761428846,20,,,0.6,1.8,20,2,1,,0,,
Site 4,2.6,3.050452943,20,,,2.6,3.1,20,10,2,,0,,
Site 8,0,0,20,,,0.0,0.0,20,0,0,,0,,
(blank),,,,,,,,,,,,0,,
(blank),,,,,,,,,,,,0,,
Grand Total,0.972222222,2.369335186,180,,,0.972222222,2.369335186,180,3.888888889,1.223519429,35,0.001944444,,
